DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF
2020-02-15,1 AVE,40.730901,-73.981719,9624,13078
2020-02-15,103 ST,40.790582,-73.947473,5664,5666
2020-02-15,103 ST,40.796105,-73.961399,2332,1539
2020-02-15,103 ST,40.799354,-73.968329,6351,3044
2020-02-15,103 ST-CORONA,40.749858,-73.862672,12904,8611
2020-02-15,104 ST,40.695184,-73.844326,1265,595
2020-02-15,110 ST,40.795066,-73.944297,11042,10362
2020-02-15,110 ST-CATHEDRL,40.804032,-73.966742,12622,6484
2020-02-15,110 ST-CPN,40.799110,-73.951807,4818,4635
2020-02-15,111 ST,40.697405,-73.836354,1053,579
2020-02-15,111 ST,40.751760,-73.855183,26148,862
2020-02-15,116 ST,40.798574,-73.941593,14890,9432
2020-02-15,116 ST,40.802098,-73.949625,11578,5940
2020-02-15,116 ST,40.805072,-73.954833,7038,5378
2020-02-15,116 ST-COLUMBIA,40.808190,-73.964124,6042,2950
2020-02-15,121 ST,40.700536,-73.828382,1159,816
2020-02-15,125 ST,40.804406,-73.937452,10875,11800
2020-02-15,125 ST,40.808076,-73.945906,13448,6976
2020-02-15,125 ST,40.811056,-73.952386,33476,33310
2020-02-15,125 ST,40.815596,-73.958395,3884,3941
2020-02-15,135 ST,40.814459,-73.940992,15462,5436
2020-02-15,135 ST,40.817902,-73.947644,7200,4881
2020-02-15,137 ST-CITY COL,40.821994,-73.953674,23306,22648
2020-02-15,138 ST-3 AVE,40.810512,-73.926165,2502,1743
2020-02-15,138 ST-GR CONC,40.813208,-73.929877,845,767
2020-02-15,14 ST,40.738007,-73.998381,25386,16986
2020-02-15,14 ST,40.740388,-74.002104,19175,19497
2020-02-15,14 ST-6 AVE,40.737348,-73.996900,42824,61952
2020-02-15,14 ST-UNION SQ,40.734836,-73.990688,269514,331032
2020-02-15,145 ST,40.820402,-73.936315,1873,174
2020-02-15,145 ST,40.824787,-73.944232,30542,27514
2020-02-15,145 ST,40.826426,-73.950412,96,148
2020-02-15,148 ST-LENOX,40.823877,-73.936443,2115,2129
2020-02-15,149 ST-3 AVE,40.816132,-73.917754,21348,9154
2020-02-15,149 ST-GR CONC,40.818429,-73.926927,11026,7128
2020-02-15,15 ST-PROSPECT,40.660376,-73.979509,6764,4324
2020-02-15,155 ST,40.829934,-73.938632,1870,1191
2020-02-15,155 ST,40.830551,-73.941486,2231,1524
2020-02-15,157 ST,40.833879,-73.944726,38,48
2020-02-15,161 ST-YANKEE,40.827888,-73.925736,59388,33960
2020-02-15,163 ST-AMSTERDM,40.835957,-73.939898,3288,2736
2020-02-15,167 ST,40.833773,-73.918430,8522,3016
2020-02-15,167 ST,40.835535,-73.921380,4739,5046
2020-02-15,168 ST-BROADWAY,40.840778,-73.940091,35487,18192
2020-02-15,169 ST,40.710459,-73.793600,8276,6754
2020-02-15,170 ST,40.839301,-73.913355,6866,3996
2020-02-15,170 ST,40.840048,-73.917775,4634,3443
2020-02-15,174 ST,40.837382,-73.887659,5466,6156
2020-02-15,174-175 ST,40.845892,-73.910136,5410,3112
2020-02-15,175 ST,40.847369,-73.939683,15538,9236
2020-02-15,176 ST,40.848635,-73.912497,2978,1967
2020-02-15,18 AVE,40.607958,-74.001782,3440,789
