DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME
2020-02-22,1 AVE,40.730901,-73.981719,12030,15664,L
2020-02-22,103 ST,40.790582,-73.947473,5978,6171,6
2020-02-22,103 ST,40.796105,-73.961399,2530,1635,BC
2020-02-22,103 ST,40.799354,-73.968329,6515,3009,1
2020-02-22,103 ST-CORONA,40.749858,-73.862672,13287,8652,7
2020-02-22,104 ST,40.695184,-73.844326,1332,644,JZ
2020-02-22,110 ST,40.795066,-73.944297,11904,11318,6
2020-02-22,110 ST-CATHEDRL,40.804032,-73.966742,12630,6388,1
2020-02-22,110 ST-CPN,40.799110,-73.951807,5201,4957,23
2020-02-22,111 ST,40.697405,-73.836354,1166,627,J
2020-02-22,111 ST,40.751760,-73.855183,27824,4558,7
2020-02-22,116 ST,40.798574,-73.941593,15918,10134,6
2020-02-22,116 ST,40.802098,-73.949625,12852,6444,23
2020-02-22,116 ST,40.805072,-73.954833,7740,5904,BC
2020-02-22,116 ST-COLUMBIA,40.808190,-73.964124,6239,3590,1
2020-02-22,121 ST,40.700536,-73.828382,1202,816,JZ
2020-02-22,125 ST,40.804406,-73.937452,11826,12907,456
2020-02-22,125 ST,40.808076,-73.945906,16444,8094,23
2020-02-22,125 ST,40.811056,-73.952386,35340,36092,ACBD
2020-02-22,125 ST,40.815596,-73.958395,3984,4051,1
2020-02-22,135 ST,40.814459,-73.940992,16522,6042,23
2020-02-22,135 ST,40.817902,-73.947644,7509,4926,BC
2020-02-22,137 ST-CITY COL,40.821994,-73.953674,23692,22944,1
2020-02-22,138 ST-3 AVE,40.810512,-73.926165,3862,2884,6
2020-02-22,138 ST-GR CONC,40.813208,-73.929877,953,812,45
2020-02-22,14 ST,40.738007,-73.998381,30396,21254,123FLM
2020-02-22,14 ST,40.740388,-74.002104,22790,25632,ACEL
2020-02-22,14 ST-6 AVE,40.737348,-73.996900,54772,68408,FLM123
2020-02-22,14 ST-UNION SQ,40.734836,-73.990688,271974,302268,LNQR456
2020-02-22,145 ST,40.820402,-73.936315,1932,171,3
2020-02-22,145 ST,40.824787,-73.944232,32736,30146,ABCD
2020-02-22,145 ST,40.826426,-73.950412,4,78,1
2020-02-22,148 ST-LENOX,40.823877,-73.936443,2285,2103,3
2020-02-22,149 ST-3 AVE,40.816132,-73.917754,23648,12000,25
2020-02-22,149 ST-GR CONC,40.818429,-73.926927,12184,8240,245
2020-02-22,15 ST-PROSPECT,40.660376,-73.979509,10278,6372,FG
2020-02-22,155 ST,40.829934,-73.938632,2030,1109,BD
2020-02-22,155 ST,40.830551,-73.941486,2375,1682,C
2020-02-22,157 ST,40.833879,-73.944726,2,48,1
2020-02-22,161 ST-YANKEE,40.827888,-73.925736,71964,46002,BD4
2020-02-22,163 ST-AMSTERDM,40.835957,-73.939898,3336,2775,C
2020-02-22,167 ST,40.833773,-73.918430,11620,4994,BD
2020-02-22,167 ST,40.835535,-73.921380,5123,5421,4
2020-02-22,168 ST-BROADWAY,40.840778,-73.940091,39264,21399,1AC
2020-02-22,169 ST,40.710459,-73.793600,8622,6934,F
2020-02-22,170 ST,40.839301,-73.913355,7230,4086,BD
2020-02-22,170 ST,40.840048,-73.917775,5017,3882,4
2020-02-22,174 ST,40.837382,-73.887659,7258,7096,25
2020-02-22,174-175 ST,40.845892,-73.910136,5570,3014,BD
2020-02-22,175 ST,40.847369,-73.939683,18182,11132,A
2020-02-22,176 ST,40.848635,-73.912497,3183,2115,4
2020-02-22,18 AVE,40.607958,-74.001782,3788,833,D
2020-02-22,18 AVE,40.620728,-73.990388,2820,2420,N
2020-02-22,18 AVE,40.629881,-73.977149,5064,3522,F
2020-02-22,18 ST,40.741096,-73.997877,7544,5708,1
2020-02-22,181 ST,40.849495,-73.933632,5,23,1
2020-02-22,181 ST,40.851686,-73.937967,17986,13932,A
2020-02-22,182-183 ST,40.856085,-73.900695,3166,1567,BD
2020-02-22,183 ST,40.858389,-73.903828,3424,2056,4
2020-02-22,190 ST,40.859022,-73.934190,3845,1453,A
2020-02-22,191 ST,40.855176,-73.929384,0,0,1
2020-02-22,2 AVE,40.723291,-73.989873,24642,28192,F
2020-02-22,20 AVE,40.604798,-73.998456,3072,821,D
2020-02-22,20 AVE,40.617373,-73.985088,1992,1478,N
2020-02-22,207 ST,40.864653,-73.918719,1045,209,1
2020-02-22,21 ST,40.754100,-73.942580,6432,4615,F
2020-02-22,215 ST,40.869359,-73.915329,699,1308,1
2020-02-22,219 ST,40.883767,-73.862736,1655,963,25
2020-02-22,22 AVE-BAY PKY,40.620907,-73.975453,858,316,F
2020-02-22,225 ST,40.887887,-73.860505,2100,1110,25
2020-02-22,23 ST,40.740088,-73.986429,36884,38000,6
2020-02-22,23 ST,40.744071,-73.995624,15018,14336,1
2020-02-22,23 ST,40.745924,-73.998005,21786,15798,CE
2020-02-22,23 ST-5 AVE,40.741006,-73.989315,19830,10988,NR
2020-02-22,23 ST-6 AVE,40.742868,-73.992770,7557,7460,FM
2020-02-22,23 ST-6 AVE,40.742981,-73.992727,8305,8374,FM
2020-02-22,231 ST,40.878867,-73.904858,2539,389,1
2020-02-22,233 ST,40.893386,-73.857265,2567,841,25
2020-02-22,238 ST,40.884821,-73.900759,1300,160,1
2020-02-22,242 ST,40.889185,-73.898549,2362,886,1
2020-02-22,25 AVE,40.597873,-73.986955,2535,541,D
2020-02-22,25 ST,40.660430,-73.997944,1448,1257,R
2020-02-22,25 ST,40.660481,-73.998059,4,7,R
2020-02-22,28 ST,40.743095,-73.984251,22053,25500,6
2020-02-22,28 ST,40.747224,-73.993360,11258,9506,1
2020-02-22,28 ST-BROADWAY,40.745574,-73.988682,11566,15798,NR
2020-02-22,3 AVE,40.733243,-73.987169,4886,5124,L
2020-02-22,33 ST,40.746119,-73.981826,40668,37724,6
2020-02-22,33 ST/RAWSON ST,40.744558,-73.930993,5270,5032,7
2020-02-22,34 ST-HERALD SQ,40.749533,-73.987899,155533,152204,BDFMNQR
2020-02-22,34 ST-HUDSON YD,40.755882,-74.001910,11999,13891,7
2020-02-22,34 ST-PENN STA,40.750264,-73.992984,45592,41892,123ACE
2020-02-22,34 ST-PENN STA,40.750329,-73.991096,47348,74664,123
2020-02-22,34 ST-PENN STA,40.752247,-73.993456,169367,178415,ACE
2020-02-22,36 ST,40.655150,-74.003477,7641,5994,DNR
2020-02-22,36 ST,40.752020,-73.928740,3244,3168,MR
2020-02-22,4 AVE,40.670320,-73.988757,8017,6803,DFGMNR
2020-02-22,40 ST-LOWERY ST,40.743778,-73.923998,5512,4461,7
2020-02-22,42 ST-BRYANT PK,40.754198,-73.984573,49725,65007,BDFM7
2020-02-22,42 ST-GRD CNTRL,40.751849,-73.976945,115096,121074,4567S
2020-02-22,42 ST-PA BUS TE,40.757303,-73.989787,132037,136300,ACENQRS1237
2020-02-22,42 ST-TIMES SQ,40.755905,-73.986504,207615,234139,1237ACENQRS
2020-02-22,45 ST,40.648866,-74.010086,4441,2593,R
2020-02-22,46 ST,40.756312,-73.913333,13206,10467,MR
2020-02-22,46 ST-BLISS ST,40.743079,-73.918419,16598,12936,7
