UNIT,STATION,INDEX
R248,1 AVE,0
R180,103 ST,1
R314,103 ST,2
R191,103 ST,3
R208,103 ST-CORONA,4
R007,104 ST,5
R181,110 ST,6
R192,110 ST-CATHEDRL,7
R323,110 ST-CPN,8
R008,111 ST,9
R310,111 ST,10
R182,116 ST,11
R324,116 ST,12
R333,116 ST,13
R159,116 ST-COLUMBIA,14
R009,121 ST,15
R132,125 ST,16
R206,125 ST,17
R102,125 ST,18
R034,125 ST,19
R207,135 ST,20
R332,135 ST,21
R169,137 ST-CITY COL,22
R445,138 ST-3 AVE,23
R307,138 ST-GR CONC,24
R105,14 ST,25
R175,14 ST,26
R163,14 ST-6 AVE,27
R170,14 ST-UNION SQ,28
R344,145 ST,29
R101,145 ST,30
R273,145 ST,31
R345,148 ST-LENOX,32
R053,149 ST-3 AVE,33
R205,149 ST-GR CONC,34
R241,15 ST-PROSPECT,35
R315,155 ST,36
R331,155 ST,37
R193,157 ST,38
R195,161 ST-YANKEE,39
R296,163 ST-AMSTERDM,40
R104,167 ST,41
R221,167 ST,42
R035,168 ST-BROADWAY,43
R115,169 ST,44
R443,170 ST,45
R243,170 ST,46
R386,174 ST,47
R253,174-175 ST,48
R126,175 ST,49
R309,176 ST,50
R372,18 AVE,51
R392,18 AVE,52
R242,18 AVE,53
R321,18 ST,54
R260,181 ST,55
R174,181 ST,56
R237,182-183 ST,57
R275,183 ST,58
R280,190 ST,59
R274,191 ST,60
R300,2 AVE,61
R373,20 AVE,62
R393,20 AVE,63
R037,207 ST,64
R303,21 ST,65
R038,215 ST,66
R365,219 ST,67
R422,22 AVE-BAY PKY,68
R366,225 ST,69
R131,23 ST,70
R190,23 ST,71
R111,23 ST,72
R083,23 ST-5 AVE,73
R203,23 ST-6 AVE,74
R453,23 ST-6 AVE,75
R040,231 ST,76
R367,233 ST,77
R306,238 ST,78
R117,242 ST,79
R399,25 AVE,80
R455,25 ST,81
R278,25 ST,82
R143,28 ST,83
R272,28 ST,84
R082,28 ST-BROADWAY,85
R330,3 AVE,86
R176,33 ST,87
R291,33 ST/RAWSON ST,88
R022,34 ST-HERALD SQ,89
R072,34 ST-HUDSON YD,90
R293,34 ST-PENN STA,91
R031,34 ST-PENN STA,92
R012,34 ST-PENN STA,93
R197,36 ST,94
R339,36 ST,95
R258,4 AVE,96
R261,40 ST-LOWERY ST,97
R021,42 ST-BRYANT PK,98
R045,42 ST-GRD CNTRL,99
R010,42 ST-PA BUS TE,100
R032,42 ST-TIMES SQ,101
R232,45 ST,102
R267,46 ST,103
R223,46 ST-BLISS ST,104
R020,47-50 ST-ROCK,105
R081,49 ST-7 AVE,106
R015,5 AVE-53 ST,107
R079,5 AVE-59 ST,108
R054,5 AVE-BRYANT PK,109
R234,50 ST,110
R116,50 ST,111
R188,50 ST,112
R049,51 ST,113
R327,52 ST-LINCOLN,114
R233,53 ST,115
R247,55 ST,116
R302,57 ST,117
R080,57 ST-7 AVE,118
R212,59 ST,119
R051,59 ST,120
R084,59 ST-COLUMBUS,121
R163,6 AVE,122
R147,61 ST/WOODSIDE,123
R202,63 DR-REGO PARK,124
R340,65 ST,125
R164,66 ST-LINCOLN,126
R219,67 AVE,127
R177,68ST-HUNTER COL,128
R347,69 ST-FISK AVE,129
R288,7 AV-PARK SLOPE,130
R171,7 AVE,131
R113,7 AVE-53 ST,132
R370,71 ST,133
R281,72 ST,134
R452,72 ST,135
R570,72 ST-2 AVE,136
R018,74 ST-BROADWAY,137
R341,75 AVE,138
R214,77 ST,139
R178,77 ST,140
R371,79 ST,141
R166,79 ST,142
R390,8 AVE,143
R175,8 AVE,144
R085,8 ST-B'WAY NYU,145
R187,81 ST-MUSEUM,146
R096,82 ST-JACKSON H,147
R397,86 ST,148
R215,86 ST,149
R179,86 ST,150
R186,86 ST,151
R167,86 ST,152
R571,86 ST-2 AVE,153
R368,9 AVE,154
R258,9 ST,155
R122,90 ST-ELMHURST,156
R144,96 ST,157
R251,96 ST,158
R168,96 ST,159
R572,96 ST-2 AVE,160
R433,ALABAMA AVE,161
R362,ALLERTON AVE,162
R464,AQUEDUCT TRACK,163
R357,AQUEDUCT-N CNDT,164
R160,ASTOR PLACE,165
R348,ATLANTIC AVE,166
R057,ATLANTIC AVE,167
R263,AVE H,168
R421,AVE I,169
R228,AVE J,170
R229,AVE M,171
R423,AVE N,172
R424,AVE P,173
R425,AVE U,174
R396,AVE U,175
R150,AVE U,176
R271,AVE X,177
R400,BAY 50 ST,178
R374,BAY PARKWAY,179
R394,BAY PKY-22 AVE,180
R213,BAY RIDGE AVE,181
R216,BAY RIDGE-95 ST,182
R292,BAYCHESTER AVE,183
