DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF
2020-04-18,1 AVE,40.730901,-73.981719,1014,2378
2020-04-18,103 ST,40.790582,-73.947473,1070,1544
2020-04-18,103 ST,40.796105,-73.961399,199,238
2020-04-18,103 ST,40.799354,-73.968329,602,701
2020-04-18,103 ST-CORONA,40.749858,-73.862672,1646,1458
2020-04-18,104 ST,40.695184,-73.844326,184,94
2020-04-18,110 ST,40.795066,-73.944297,1618,2336
2020-04-18,110 ST-CATHEDRL,40.804032,-73.966742,1190,1454
2020-04-18,110 ST-CPN,40.799110,-73.951807,487,847
2020-04-18,111 ST,40.697405,-73.836354,131,86
2020-04-18,111 ST,40.751760,-73.855183,948,669
2020-04-18,116 ST,40.798574,-73.941593,2472,3314
2020-04-18,116 ST,40.802098,-73.949625,1360,1520
2020-04-18,116 ST,40.805072,-73.954833,744,1344
2020-04-18,116 ST-COLUMBIA,40.808190,-73.964124,255,326
2020-04-18,121 ST,40.700536,-73.828382,155,124
2020-04-18,125 ST,40.804406,-73.937452,2556,4462
2020-04-18,125 ST,40.808076,-73.945906,1562,1762
2020-04-18,125 ST,40.811056,-73.952386,4134,5644
2020-04-18,125 ST,40.815596,-73.958395,403,855
2020-04-18,135 ST,40.814459,-73.940992,2096,1636
2020-04-18,135 ST,40.817902,-73.947644,732,1224
2020-04-18,137 ST-CITY COL,40.821994,-73.953674,1756,2548
2020-04-18,138 ST-3 AVE,40.810512,-73.926165,636,552
2020-04-18,138 ST-GR CONC,40.813208,-73.929877,332,384
2020-04-18,14 ST,40.738007,-73.998381,1270,1360
2020-04-18,14 ST,40.740388,-74.002104,717,905
2020-04-18,14 ST-6 AVE,40.737348,-73.996900,1384,3712
2020-04-18,14 ST-UNION SQ,40.734836,-73.990688,20358,28668
2020-04-18,145 ST,40.820402,-73.936315,4,3
2020-04-18,145 ST,40.824787,-73.944232,3484,4494
2020-04-18,145 ST,40.826426,-73.950412,1412,1868
2020-04-18,148 ST-LENOX,40.823877,-73.936443,15,61
2020-04-18,149 ST-3 AVE,40.816132,-73.917754,3506,2834
2020-04-18,149 ST-GR CONC,40.818429,-73.926927,2518,2704
2020-04-18,15 ST-PROSPECT,40.660376,-73.979509,346,372
2020-04-18,155 ST,40.829934,-73.938632,436,433
2020-04-18,155 ST,40.830551,-73.941486,174,225
2020-04-18,157 ST,40.833879,-73.944726,1494,1666
2020-04-18,161 ST-YANKEE,40.827888,-73.925736,10998,8586
2020-04-18,163 ST-AMSTERDM,40.835957,-73.939898,315,507
2020-04-18,167 ST,40.833773,-73.918430,1494,762
2020-04-18,167 ST,40.835535,-73.921380,1077,1400
2020-04-18,168 ST-BROADWAY,40.840778,-73.940091,4032,4146
2020-04-18,169 ST,40.710459,-73.793600,716,1244
2020-04-18,170 ST,40.839301,-73.913355,1286,1092
2020-04-18,170 ST,40.840048,-73.917775,828,1166
2020-04-18,174 ST,40.837382,-73.887659,1066,2050
2020-04-18,174-175 ST,40.845892,-73.910136,968,814
2020-04-18,175 ST,40.847369,-73.939683,1034,1040
2020-04-18,176 ST,40.848635,-73.912497,659,846
2020-04-18,18 AVE,40.607958,-74.001782,303,116
2020-04-18,18 AVE,40.620728,-73.990388,194,249
2020-04-18,18 AVE,40.629881,-73.977149,516,454
2020-04-18,18 ST,40.741096,-73.997877,220,362
2020-04-18,181 ST,40.849495,-73.933632,916,1574
2020-04-18,181 ST,40.851686,-73.937967,874,1276
2020-04-18,182-183 ST,40.856085,-73.900695,305,291
2020-04-18,183 ST,40.858389,-73.903828,750,664
2020-04-18,190 ST,40.859022,-73.934190,69,36
2020-04-18,191 ST,40.855176,-73.929384,98,177
2020-04-18,2 AVE,40.723291,-73.989873,950,2296
2020-04-18,20 AVE,40.604798,-73.998456,324,102
2020-04-18,20 AVE,40.617373,-73.985088,157,173
2020-04-18,207 ST,40.864653,-73.918719,598,516
2020-04-18,21 ST,40.754100,-73.942580,694,882
2020-04-18,215 ST,40.869359,-73.915329,128,90
2020-04-18,219 ST,40.883767,-73.862736,320,309
2020-04-18,22 AVE-BAY PKY,40.620907,-73.975453,86,40
2020-04-18,225 ST,40.887887,-73.860505,339,377
2020-04-18,23 ST,40.740088,-73.986429,2356,3180
2020-04-18,23 ST,40.744071,-73.995624,950,1286
2020-04-18,23 ST,40.745924,-73.998005,1344,1494
2020-04-18,23 ST-5 AVE,40.741006,-73.989315,668,842
2020-04-18,23 ST-6 AVE,40.742868,-73.992770,399,434
2020-04-18,23 ST-6 AVE,40.742981,-73.992727,203,605
2020-04-18,231 ST,40.878867,-73.904858,595,142
2020-04-18,233 ST,40.893386,-73.857265,552,305
2020-04-18,238 ST,40.884821,-73.900759,349,77
2020-04-18,242 ST,40.889185,-73.898549,407,312
2020-04-18,25 AVE,40.597873,-73.986955,212,66
2020-04-18,25 ST,40.660430,-73.997944,44,234
2020-04-18,25 ST,40.660481,-73.998059,224,135
2020-04-18,28 ST,40.743095,-73.984251,1962,3312
2020-04-18,28 ST,40.747224,-73.993360,522,654
2020-04-18,28 ST-BROADWAY,40.745574,-73.988682,294,632
2020-04-18,3 AVE,40.733243,-73.987169,390,446
2020-04-18,33 ST,40.746119,-73.981826,3256,4352
2020-04-18,33 ST/RAWSON ST,40.744558,-73.930993,332,476
2020-04-18,34 ST-HERALD SQ,40.749533,-73.987899,5726,9929
2020-04-18,34 ST-HUDSON YD,40.755882,-74.001910,377,562
2020-04-18,34 ST-PENN STA,40.750264,-73.992984,2470,3796
2020-04-18,34 ST-PENN STA,40.750329,-73.991096,2404,5048
2020-04-18,34 ST-PENN STA,40.752247,-73.993456,5892,11733
2020-04-18,36 ST,40.655150,-74.003477,948,880
2020-04-18,36 ST,40.752020,-73.928740,266,378
2020-04-18,4 AVE,40.670320,-73.988757,444,772
2020-04-18,40 ST-LOWERY ST,40.743778,-73.923998,415,491
2020-04-18,42 ST-BRYANT PK,40.754198,-73.984573,1992,3678
2020-04-18,42 ST-GRD CNTRL,40.751849,-73.976945,4702,7963
2020-04-18,42 ST-PA BUS TE,40.757303,-73.989787,6455,8925
2020-04-18,42 ST-TIMES SQ,40.755905,-73.986504,8425,11937
2020-04-18,45 ST,40.648866,-74.010086,464,420
2020-04-18,46 ST,40.756312,-73.913333,1128,1326
2020-04-18,46 ST-BLISS ST,40.743079,-73.918419,1380,1348
2020-04-18,47-50 ST-ROCK,40.758652,-73.981311,1728,2808
2020-04-18,49 ST-7 AVE,40.760139,-73.984112,1252,2104
2020-04-18,5 AVE-53 ST,40.760179,-73.975196,2,62
2020-04-18,5 AVE-59 ST,40.764909,-73.973372,392,314
2020-04-18,5 AVE-BRYANT PK,40.753824,-73.981966,294,374
2020-04-18,50 ST,40.636232,-73.994765,196,199
2020-04-18,50 ST,40.761675,-73.983908,754,1194
2020-04-18,50 ST,40.762439,-73.985989,724,858
2020-04-18,51 ST,40.757108,-73.971870,1005,2370
2020-04-18,52 ST-LINCOLN,40.744103,-73.912497,282,293
2020-04-18,53 ST,40.644959,-74.014034,719,854
2020-04-18,55 ST,40.631412,-73.995473,123,53
2020-04-18,57 ST,40.763625,-73.977449,297,601
